Year,Tourist Arrivals: Monthly: Malaysia
Apr-17,2145734
May-17,2039016
Jun-17,2134647
Jul-17,2263478
Aug-17,2129013
Sep-17,2092378
Oct-17,2068995
Nov-17,2007965
Dec-17,2435564
Jan-18,2276750
Feb-18,2050613
Mar-18,2192855
Apr-18,1957248
May-18,1976981
Jun-18,2275921
Jul-18,2305324
Aug-18,2253534
Sep-18,2096889
Oct-18,2103975
Nov-18,1989842
Dec-18,2352422
Jan-19,2195684
Feb-19,2165933
Mar-19,2334613
Apr-19,2159517
May-19,2098267
Jun-19,2400561
Jul-19,2415097
Aug-19,2342438
Sep-19,1997093
Oct-19,2031198
Nov-19,1969315
Dec-19,1991068
Jan-20,2164459
Feb-20,1397912
Mar-20,671084
Apr-20,7546
May-20,5411
Jun-20,6585
Jul-20,18660
Aug-20,11631
Sep-20,16131
Oct-20,11315
Nov-20,11420
Dec-20,10568
Jan-21,8012
Feb-21,7599
Mar-21,9645
